=== Classification Report ===
,precision,recall,f1-score,support
0,0.9674523007856342,0.43979591836734694,0.6047001052262364,1960.0
1,0.3800112930547713,0.9586894586894587,0.5442782046097857,702.0
accuracy,0.5766341096919609,0.5766341096919609,0.5766341096919609,0.5766341096919609
macro avg,0.6737317969202028,0.6992426885284028,0.5744891549180111,2662.0
weighted avg,0.8125373543442121,0.5766341096919609,0.5887661554768945,2662.0

=== Epoch Loss History ===
epoch,avg_loss
1,0.5795015550667132
2,0.5015573626840618
